Last Name	First and Middle Name	Departments	Faculty	ORCID
Nagappa	Mahesh	Anesthesia-Perioperative Med	Schulich School of Medicine & Dentistry	0000-0001-8036-3319
Nicolaou	Georghios	"Anesthesia-Perioperative Med, Paediatrics"	Schulich School of Medicine & Dentistry	
Noppens	Ruediger	Anesthesia-Perioperative Med	Schulich School of Medicine & Dentistry	0000-0003-0069-579X
Ower	Kate	Anesthesia-Perioperative Med	Schulich School of Medicine & Dentistry	
Payne	Sonja Marie	Anesthesia-Perioperative Med	Schulich School of Medicine & Dentistry	0000-0001-9583-5673
Poolacherla	YuvaRaju	"Anesthesia-Perioperative Med, Paediatrics"	Schulich School of Medicine & Dentistry	0000-0002-7691-0962
Puentes Beltran	Wilfredo	Anesthesia-Perioperative Med	Schulich School of Medicine & Dentistry	0000-0003-4757-694X
Querney	Jill	Anesthesia-Perioperative Med	Schulich School of Medicine & Dentistry	
Rachinsky	Maxim L	Anesthesia-Perioperative Med	Schulich School of Medicine & Dentistry	
Railton	Craig James	Anesthesia-Perioperative Med	Schulich School of Medicine & Dentistry	0000-0001-8270-7779
Rajarathinam	Manikandan	Anesthesia-Perioperative Med	Schulich School of Medicine & Dentistry	0000-0002-9292-6614
Sadkhan	Hussein	Anesthesia-Perioperative Med	Schulich School of Medicine & Dentistry	0000-0002-1366-0564
Schulz	Valerie Marie	Anesthesia-Perioperative Med	Schulich School of Medicine & Dentistry	
Sefein	Osama	Anesthesia-Perioperative Med	Schulich School of Medicine & Dentistry	
Sehmbi	Herman	Anesthesia-Perioperative Med	Schulich School of Medicine & Dentistry	0000-0002-3558-8962
Shah	Ushma Jitendra	Anesthesia-Perioperative Med	Schulich School of Medicine & Dentistry	0000-0002-5630-5124
Singh	Indu	Anesthesia-Perioperative Med	Schulich School of Medicine & Dentistry	0009-0004-0351-1380
Sommerfreund	R David	Anesthesia-Perioperative Med	Schulich School of Medicine & Dentistry	
Subramani	Yamini	Anesthesia-Perioperative Med	Schulich School of Medicine & Dentistry	
Sudhakaran Nair	Gopakumar	Anesthesia-Perioperative Med	Schulich School of Medicine & Dentistry	0000-0002-5529-6537
Symons	Yahui Tammy	Anesthesia-Perioperative Med	Schulich School of Medicine & Dentistry	0000-0001-6094-2954
Szoke	Daniel Jonathan	Anesthesia-Perioperative Med	Schulich School of Medicine & Dentistry	
Tachibana	Ricardo Hideo	Anesthesia-Perioperative Med	Schulich School of Medicine & Dentistry	0009-0003-6899-9228
Taneja	Ravi	Anesthesia-Perioperative Med	Schulich School of Medicine & Dentistry	0000-0002-5361-9208
Tawfic	Qutaiba Amir	Anesthesia-Perioperative Med	Schulich School of Medicine & Dentistry	0000-0002-8566-9891
Tryphonopoulos	Peter	Anesthesia-Perioperative Med	Schulich School of Medicine & Dentistry	0000-0002-1242-0307
Turkstra	Timothy	Anesthesia-Perioperative Med	Schulich School of Medicine & Dentistry	
Van Doormaal	Curtis John	Anesthesia-Perioperative Med	Schulich School of Medicine & Dentistry	
Vergel de Dios	Jennifer	Anesthesia-Perioperative Med	Schulich School of Medicine & Dentistry	0000-0003-1315-3316
Vissa	Deepti	Anesthesia-Perioperative Med	Schulich School of Medicine & Dentistry	0000-0001-5823-0878
Watson	James T	Anesthesia-Perioperative Med	Schulich School of Medicine & Dentistry	
Yang	Homer	Anesthesia-Perioperative Med	Schulich School of Medicine & Dentistry	0000-0003-1943-8857
Youssef	Hesham	Anesthesia-Perioperative Med	Schulich School of Medicine & Dentistry	
Zamper	Raffael Pereira Cezar	Anesthesia-Perioperative Med	Schulich School of Medicine & Dentistry	0000-0003-2783-3072
Zidan	Hamza Mousa Abdelfattah	Anesthesia-Perioperative Med	Schulich School of Medicine & Dentistry	
Ainsworth	Peter Joseph	Biochemistry	Schulich School of Medicine & Dentistry	0000-0002-2181-4607
Armstrong	Souzan	Biochemistry	Schulich School of Medicine & Dentistry	
Ball	Eric Howard	Biochemistry	Schulich School of Medicine & Dentistry	0000-0003-2542-9156
Bishop	Stephanie	Biochemistry	Schulich School of Medicine & Dentistry	
Boffa	Michael	"Biochemistry, Robarts - Molecular Medicine"	Schulich School of Medicine & Dentistry	0000-0003-1211-3064
Bonham	Christopher	Biochemistry	Schulich School of Medicine & Dentistry	
Brandl	Christopher J	Biochemistry	Schulich School of Medicine & Dentistry	0000-0001-8015-9668
Capone	John Pasquale	Biochemistry	Schulich School of Medicine & Dentistry	
DiMattia	Gabriel E	"Biochemistry, Obstetrics & Gynaecology, Oncology"	Schulich School of Medicine & Dentistry	0000-0002-2796-9941
Dunn	Stanley D	Biochemistry	Schulich School of Medicine & Dentistry	
Edgell	David R.	Biochemistry	Schulich School of Medicine & Dentistry	0000-0003-3858-6150
Evans	Malkanthi	Biochemistry	Schulich School of Medicine & Dentistry	
Garnham	Christopher Peter	Biochemistry	Schulich School of Medicine & Dentistry	0000-0002-1035-6970
Gebregiworgis	Teklab	"Biochemistry, Oncology"	Schulich School of Medicine & Dentistry	0000-0002-1489-4813
Gloor	Gregory B.	Biochemistry	Schulich School of Medicine & Dentistry	0000-0001-5803-3380
Hallett	Michael Trevor	"Biochemistry, Oncology"	Schulich School of Medicine & Dentistry	0000-0001-6738-6786
Han	Victor K.	"Biochemistry, Obstetrics & Gynaecology, Paediatrics"	Schulich School of Medicine & Dentistry	0000-0003-3479-9132
Haniford	David B.	Biochemistry	Schulich School of Medicine & Dentistry	0009-0007-5963-682X
Heinemann	Ilka	Biochemistry	Schulich School of Medicine & Dentistry	0000-0003-1721-1667
Junop	Murray Steven	Biochemistry	Schulich School of Medicine & Dentistry	0000-0001-6676-5717
Koschinsky	Marlys L	"Biochemistry, Physiology and Pharmacology, Robarts - Molecular Medicine, Robarts Research Institute"	Schulich School of Medicine & Dentistry	0000-0002-2643-2288
Lajoie	Gilles	Biochemistry	Schulich School of Medicine & Dentistry	0009-0004-5424-1851
Lee	Lana	Biochemistry	Schulich School of Medicine & Dentistry	
Li	Shun-Cheng	"Biochemistry, Oncology"	Schulich School of Medicine & Dentistry	0000-0003-3610-9035
Ling	Hong	Biochemistry	Schulich School of Medicine & Dentistry	0000-0002-5822-8783
Litchfield	David W.	"Biochemistry, Oncology"	Schulich School of Medicine & Dentistry	0000-0002-2425-6620
Lu	Kun Ping	"Biochemistry, Oncology, Robarts - Molecular Medicine"	Schulich School of Medicine & Dentistry	0000-0002-0734-1567
Meakin	Susan	Biochemistry	Schulich School of Medicine & Dentistry	0000-0003-2469-6615
O'Gorman	David	Biochemistry	Schulich School of Medicine & Dentistry	0000-0001-6195-2644
Penner	Gregory	Biochemistry	Schulich School of Medicine & Dentistry	0000-0002-7153-0426
Pickering	J. Geoffrey	"Biochemistry, Department of Medicine, Medical Biophysics, Robarts - Molecular Medicine"	Schulich School of Medicine & Dentistry	0000-0001-6474-3274
Rogan	Peter	"Biochemistry, Oncology"	Schulich School of Medicine & Dentistry	0000-0003-2070-5254
Rupar	Charles Anthony	"Biochemistry, Pathology and Lab Medicine"	Schulich School of Medicine & Dentistry	
Schild Poulter	Caroline	"Biochemistry, Oncology, Robarts - Molecular Medicine"	Schulich School of Medicine & Dentistry	0000-0001-9943-9942
Shaw	Gary S	Biochemistry	Schulich School of Medicine & Dentistry	0000-0002-4685-9625
Shilton	Brian	Biochemistry	Schulich School of Medicine & Dentistry	0000-0001-7949-8160
Turley	Eva	"Biochemistry, Oncology, Surgery"	Schulich School of Medicine & Dentistry	0000-0002-7383-4896
Zhou	Xiao Zhen	"Biochemistry, Pathology and Lab Medicine"	Schulich School of Medicine & Dentistry	0009-0002-7849-2116
Connaughton	Dervla	"Clinical Biochemistry, Department of Medicine"	Schulich School of Medicine & Dentistry	0000-0003-3466-6305
Hegele	Robert A	"Clinical Biochemistry, Department of Medicine, Robarts - Molecular Medicine"	Schulich School of Medicine & Dentistry	0000-0003-2861-5325
Rutledge	Angela	"Clinical Biochemistry, Pathology and Lab Medicine"	Schulich School of Medicine & Dentistry	0000-0001-9106-316X
Yang	Liju	"Clinical Biochemistry, Pathology and Lab Medicine"	Schulich School of Medicine & Dentistry	
Anazodo	Udunna Chinyelu Ukaoma	Clinical Neurological Science	Schulich School of Medicine & Dentistry	
Andrade Banuelos	Andrea Valeria	"Clinical Neurological Science, Paediatrics"	Schulich School of Medicine & Dentistry	
Azarpazhooh	Mahmoud Reza	"Clinical Neurological Science, Epidemiology and Biostatistics"	Schulich School of Medicine & Dentistry	0000-0003-2884-7572
Bogiatzi	Chrysi	Clinical Neurological Science	Schulich School of Medicine & Dentistry	0000-0002-4341-7514
Boulton	Mel	"Clinical Neurological Science, Department of Medical Imaging"	Schulich School of Medicine & Dentistry	0000-0001-7246-4531
Bres Bullrich	Maria	Clinical Neurological Science	Schulich School of Medicine & Dentistry	0000-0003-4911-9937
Budhram	Adrian	"Clinical Neurological Science, Pathology and Lab Medicine"	Schulich School of Medicine & Dentistry	0000-0003-4860-0470
Burneo	Jorge G	Clinical Neurological Science	Schulich School of Medicine & Dentistry	0000-0002-3644-2826
Bursztyn	Lulu Liane C D	"Clinical Neurological Science, Ophthalmology"	Schulich School of Medicine & Dentistry	0000-0002-4937-2687
Campbell	Craig	"Clinical Neurological Science, Epidemiology and Biostatistics, Paediatrics"	Schulich School of Medicine & Dentistry	
Casserly	Courtney Sarah	Clinical Neurological Science	Schulich School of Medicine & Dentistry	0000-0002-8357-2834
Chan	Lik Hang Tommy	Clinical Neurological Science	Schulich School of Medicine & Dentistry	0000-0003-0252-7757
Ciftci	Beyza	Clinical Neurological Science	Schulich School of Medicine & Dentistry	0000-0003-0412-6228
Climans	Seth Andrew	"Clinical Neurological Science, Epidemiology and Biostatistics, Oncology"	Schulich School of Medicine & Dentistry	0000-0002-4961-237X
Dafe	Charles Onisuru	Clinical Neurological Science	Schulich School of Medicine & Dentistry	
Dash	Deepa	Clinical Neurological Science	Schulich School of Medicine & Dentistry	0000-0002-4285-144X
Debicki	Derek Brian	Clinical Neurological Science	Schulich School of Medicine & Dentistry	0000-0001-6010-5689
Duggal	Neil	"Clinical Neurological Science, Medical Biophysics, Otolaryngology"	Schulich School of Medicine & Dentistry	0000-0002-5461-4492
Finger	Elizabeth	"Clinical Neurological Science, Robarts - Imaging"	Schulich School of Medicine & Dentistry	0000-0003-4461-7427
Florendo-Cumbermack	Anita	Clinical Neurological Science	Schulich School of Medicine & Dentistry	
Fraser	Douglas	"Clinical Neurological Science, Paediatrics, Physiology and Pharmacology"	Schulich School of Medicine & Dentistry	
Fraser	John Alexander	"Clinical Neurological Science, Ophthalmology"	Schulich School of Medicine & Dentistry	
Fridman	Sebastian	"Clinical Neurological Science, Epidemiology and Biostatistics"	Schulich School of Medicine & Dentistry	0000-0002-1165-040X
Gofton	Teneille	Clinical Neurological Science	Schulich School of Medicine & Dentistry	0000-0001-9001-4884
Hachinski	Vladimir	"Clinical Neurological Science, Robarts - Imaging"	Schulich School of Medicine & Dentistry	0000-0002-0487-734X
Hammond	Robert Ralph	"Clinical Neurological Science, Pathology and Lab Medicine"	Schulich School of Medicine & Dentistry	
Hebb	Matthew O	"Clinical Neurological Science, Oncology, Otolaryngology"	Schulich School of Medicine & Dentistry	0000-0002-9582-4314
Jenkins	Mary Ethel	Clinical Neurological Science	Schulich School of Medicine & Dentistry	
Jog	Mandar S.	Clinical Neurological Science	Schulich School of Medicine & Dentistry	
Jones	Michelle-Lee	Clinical Neurological Science	Schulich School of Medicine & Dentistry	0000-0002-7466-0592
Khaw	Alexander V	Clinical Neurological Science	Schulich School of Medicine & Dentistry	0000-0003-2173-5308
Koopman	Wilma J	Clinical Neurological Science	Schulich School of Medicine & Dentistry	
Lagman-Bartolome	Ana Marissa	"Clinical Neurological Science, Paediatrics"	Schulich School of Medicine & Dentistry	0000-0002-4859-6216
Lalgudi Ganesan	Saptharishi	"Clinical Neurological Science, Epidemiology and Biostatistics, Medical Biophysics, Paediatrics, Physiology and Pharmacology"	Schulich School of Medicine & Dentistry	0000-0003-1677-1320
Lau	Jonathan C	"Clinical Neurological Science, Robarts - Imaging"	Schulich School of Medicine & Dentistry	0000-0002-8452-8915
Leung	Andrew Edward	"Clinical Neurological Science, Department of Medical Imaging, Otolaryngology"	Schulich School of Medicine & Dentistry	0000-0003-3349-1574
MacDonald	Penny	"Clinical Neurological Science, Physiology and Pharmacology"	Schulich School of Medicine & Dentistry	0000-0002-1817-2383
MacDougall	Keith	Clinical Neurological Science	Schulich School of Medicine & Dentistry	0000-0001-9374-3089
Mai	Lauren Marie	Clinical Neurological Science	Schulich School of Medicine & Dentistry	0000-0001-8984-2113
Mandzia	Jennifer	Clinical Neurological Science	Schulich School of Medicine & Dentistry	0000-0002-1331-0695
Martinez-Trujillo	Julio	"Clinical Neurological Science, Physiology and Pharmacology, Psychiatry, Robarts - Molecular Medicine"	Schulich School of Medicine & Dentistry	0000-0003-3338-578X
Mayich	Michael	"Clinical Neurological Science, Department of Medical Imaging"	Schulich School of Medicine & Dentistry	
Megyesi	Joseph Frank	Clinical Neurological Science	Schulich School of Medicine & Dentistry	0000-0002-5653-1455
Moulin	Dwight E.	"Clinical Neurological Science, Oncology"	Schulich School of Medicine & Dentistry	0000-0001-9902-2418
Murgai	Aditya Ashok	Clinical Neurological Science	Schulich School of Medicine & Dentistry	0000-0002-9774-4211
Nabavi Nouri	Maryam	"Clinical Neurological Science, Epidemiology and Biostatistics, Paediatrics"	Schulich School of Medicine & Dentistry	0000-0001-6317-4890
Naeem	Abdul	Clinical Neurological Science	Schulich School of Medicine & Dentistry	
Ng	Wai Pui	Clinical Neurological Science	Schulich School of Medicine & Dentistry	
Nicolle	Michael W	Clinical Neurological Science	Schulich School of Medicine & Dentistry	
Norton	Loretta	Clinical Neurological Science	Schulich School of Medicine & Dentistry	0000-0002-6651-1837
Pandey	Sachin Kishore	"Clinical Neurological Science, Department of Medical Imaging, Otolaryngology"	Schulich School of Medicine & Dentistry	
Parnes	Lorne S	"Clinical Neurological Science, Otolaryngology"	Schulich School of Medicine & Dentistry	0000-0002-6094-2281
Pasternak	Stephen H	"Clinical Neurological Science, Physiology and Pharmacology, Robarts - Molecular Medicine"	Schulich School of Medicine & Dentistry	0000-0002-0204-0255
Pellegrino	Giovanni	"Clinical Neurological Science, Medical Biophysics"	Schulich School of Medicine & Dentistry	0000-0002-1195-1421
Ranger	Adrianna	"Clinical Neurological Science, Surgery"	Schulich School of Medicine & Dentistry	
Riccio	Patricia Mariana	Clinical Neurological Science	Schulich School of Medicine & Dentistry	0000-0002-5561-5278
Rotenberg	Brian W	"Clinical Neurological Science, Ophthalmology, Otolaryngology"	Schulich School of Medicine & Dentistry	0000-0003-0258-3142
Sharma	Manas	"Clinical Neurological Science, Department of Medical Imaging, Otolaryngology"	Schulich School of Medicine & Dentistry	0000-0003-0947-1282
Shoesmith	Christen	Clinical Neurological Science	Schulich School of Medicine & Dentistry	0000-0003-2472-3804
Siddiqi	Fawaz	Clinical Neurological Science	Schulich School of Medicine & Dentistry	0000-0002-9247-6887
Singh	Supriya	"Clinical Neurological Science, Surgery"	Schulich School of Medicine & Dentistry	0000-0003-3353-9670
Sowerby	Leigh	"Clinical Neurological Science, Department of Medicine, Ophthalmology, Otolaryngology"	Schulich School of Medicine & Dentistry	0000-0002-5825-2759
Spence	J. David	"Clinical Neurological Science, Robarts - Imaging"	Schulich School of Medicine & Dentistry	0000-0001-7478-1098
Steven	David Andrew	"Clinical Neurological Science, Epidemiology and Biostatistics"	Schulich School of Medicine & Dentistry	0000-0002-0392-8950
Strong	Michael Joseph	"Clinical Neurological Science, Pathology and Lab Medicine, Robarts - Molecular Medicine"	Schulich School of Medicine & Dentistry	0000-0003-1988-6262
Suller Marti	Ana	"Clinical Neurological Science, Paediatrics, Psychiatry"	Schulich School of Medicine & Dentistry	0000-0002-8421-1125
Yang	Victor Xiao Dong	"Clinical Neurological Science, Department of Medical Imaging, Surgery"	Schulich School of Medicine & Dentistry	0000-0002-1166-8271
Zhang	Qi	"Clinical Neurological Science, Pathology and Lab Medicine"	Schulich School of Medicine & Dentistry	
Ari	Nilgun	Dentistry - General	Schulich School of Medicine & Dentistry	0000-0001-6632-4698
Butler	Sheila	Dentistry - General	Schulich School of Medicine & Dentistry	0000-0002-5397-9051
Da Silva	Keith	Dentistry - General	Schulich School of Medicine & Dentistry	
Darling	Mark R	"Dentistry - General, Pathology and Lab Medicine"	Schulich School of Medicine & Dentistry	0000-0002-5404-2201
Dong	Cecilia	"Dentistry - General, Pathology and Lab Medicine"	Schulich School of Medicine & Dentistry	0000-0003-2540-8734
Goldberg	Harvey A	Dentistry - General	Schulich School of Medicine & Dentistry	
Gomaa	Noha Aziz Ezzat	"Dentistry - General, Epidemiology and Biostatistics"	Schulich School of Medicine & Dentistry	0000-0002-7351-9036
Jessani	Abbas Ali	"Dentistry - General, Epidemiology and Biostatistics"	Schulich School of Medicine & Dentistry	0000-0001-7728-2067
Kalman	Les J.	Dentistry - General	Schulich School of Medicine & Dentistry	0000-0002-0939-5673
McCord	Christina	"Dentistry - General, Pathology and Lab Medicine"	Schulich School of Medicine & Dentistry	0000-0002-4541-2282
Perinpanayagam	Hiran	Dentistry - General	Schulich School of Medicine & Dentistry	0000-0001-6484-5932
Quinonez	Carlos	Dentistry - General	Schulich School of Medicine & Dentistry	
Saadaldin	Selma Adnan	Dentistry - General	Schulich School of Medicine & Dentistry	0000-0002-0151-122X
Sabharwal	Amarpreet	Dentistry - General	Schulich School of Medicine & Dentistry	0000-0002-9444-837X
Santos	Gildo Coelho	Dentistry - General	Schulich School of Medicine & Dentistry	0000-0001-9876-3898
Santos	Maria Jacinta	Dentistry - General	Schulich School of Medicine & Dentistry	0000-0001-8942-7091
Shimizu	Michael	Dentistry - General	Schulich School of Medicine & Dentistry	
Tassi	Ali	Dentistry - General	Schulich School of Medicine & Dentistry	0000-0001-6457-8889
Unsal	Gurkan	"Dentistry - General, Medical Biophysics"	Schulich School of Medicine & Dentistry	0000-0001-7832-4249
Abdelrazek	Mohamed Assem M	Department of Medical Imaging	Schulich School of Medicine & Dentistry	
Accorsi	Fabio Andrea	Department of Medical Imaging	Schulich School of Medicine & Dentistry	0000-0002-1566-1368
Ahmed	Mobeen	Department of Medical Imaging	Schulich School of Medicine & Dentistry	
Akincioglu	Cigdem	Department of Medical Imaging	Schulich School of Medicine & Dentistry	0000-0003-3356-6492
Amann	Justin Hugo	Department of Medical Imaging	Schulich School of Medicine & Dentistry	0000-0002-0694-0488
Bartha	Robert	"Department of Medical Imaging, Medical Biophysics, Psychiatry, Robarts - Imaging"	Schulich School of Medicine & Dentistry	0000-0002-7118-9096
Ben Nachum	Ilanit	Department of Medical Imaging	Schulich School of Medicine & Dentistry	
Bhaduri	Mousumi	Department of Medical Imaging	Schulich School of Medicine & Dentistry	0000-0003-2112-1752
Brahm	Gary Lee	"Department of Medical Imaging, Otolaryngology"	Schulich School of Medicine & Dentistry	
Cardarelli Leite	Leandro	"Department of Medical Imaging, Medical Biophysics"	Schulich School of Medicine & Dentistry	0000-0002-5987-7291
Chan	Ian Lik-Yan	Department of Medical Imaging	Schulich School of Medicine & Dentistry	0000-0002-2079-3066
Chong	Jaron	Department of Medical Imaging	Schulich School of Medicine & Dentistry	0000-0002-7416-6105
Cool	Derek William	"Department of Medical Imaging, Oncology"	Schulich School of Medicine & Dentistry	0000-0003-1095-3553
Crivellaro	Priscila	Department of Medical Imaging	Schulich School of Medicine & Dentistry	0000-0003-1600-034X
Dawson	William B	Department of Medical Imaging	Schulich School of Medicine & Dentistry	
Etemad-Rezai	Roya	Department of Medical Imaging	Schulich School of Medicine & Dentistry	
Fenster	Aaron	"Department of Medical Imaging, Medical Biophysics, Oncology, Robarts - Imaging"	Schulich School of Medicine & Dentistry	0000-0003-3525-2788
Foster	Paula J	"Department of Medical Imaging, Medical Biophysics, Oncology, Robarts - Imaging"	Schulich School of Medicine & Dentistry	0000-0002-4868-3395
Garcia	Maria Paz	Department of Medical Imaging	Schulich School of Medicine & Dentistry	
Garvin	Greg John	Department of Medical Imaging	Schulich School of Medicine & Dentistry	0000-0003-0984-2741
Gelman	Neil	"Department of Medical Imaging, Medical Biophysics"	Schulich School of Medicine & Dentistry	
Goela	Aashish	Department of Medical Imaging	Schulich School of Medicine & Dentistry	0000-0001-9373-1475
Grisaru Kacen	Maya	Department of Medical Imaging	Schulich School of Medicine & Dentistry	
Haddad	Richard Gordon	Department of Medical Imaging	Schulich School of Medicine & Dentistry	0009-0003-8936-8812
Hocking	David Gregory	Department of Medical Imaging	Schulich School of Medicine & Dentistry	000-0003-0111-8804
Islam	Ali	Department of Medical Imaging	Schulich School of Medicine & Dentistry	0000-0002-4835-0259
Kalia	Vibhuti	Department of Medical Imaging	Schulich School of Medicine & Dentistry	0000-0002-1091-4047
Kalia	Vishal	Department of Medical Imaging	Schulich School of Medicine & Dentistry	
Kassam	Zahra Mansur	"Department of Medical Imaging, Oncology"	Schulich School of Medicine & Dentistry	0000-0002-2098-1550
Khan	Imran	Department of Medical Imaging	Schulich School of Medicine & Dentistry	
Kiwan	Ruba Nabil	Department of Medical Imaging	Schulich School of Medicine & Dentistry	
Kornecki	Anat	Department of Medical Imaging	Schulich School of Medicine & Dentistry	0000-0001-6098-2091
Kribs	Stewart Wayne	Department of Medical Imaging	Schulich School of Medicine & Dentistry	
Laidley	David	Department of Medical Imaging	Schulich School of Medicine & Dentistry	
Lee	Ting-Yim	"Department of Medical Imaging, Medical Biophysics"	Schulich School of Medicine & Dentistry	0000-0001-7605-9752
Legros	Alexandre	"Department of Medical Imaging, Medical Biophysics"	Schulich School of Medicine & Dentistry	0000-0003-2532-6624
Leung	Stephanie Elaine	Department of Medical Imaging	Schulich School of Medicine & Dentistry	0000-0002-8880-2977
Malik	Prateek	Department of Medical Imaging	Schulich School of Medicine & Dentistry	
Mangat	Arvindpaul	Department of Medical Imaging	Schulich School of Medicine & Dentistry	0009-0007-3540-0003
McKenzie	Charles Alexander	"Department of Medical Imaging, Medical Biophysics"	Schulich School of Medicine & Dentistry	0000-0002-9614-1582
McKillop	Scott Douglas	Department of Medical Imaging	Schulich School of Medicine & Dentistry	
Meglei	Gabriela	Department of Medical Imaging	Schulich School of Medicine & Dentistry	
Menon	Ravi	"Department of Medical Imaging, Medical Biophysics, Robarts - Imaging"	Schulich School of Medicine & Dentistry	0000-0002-7916-0263
Milroy	Lindsay	Department of Medical Imaging	Schulich School of Medicine & Dentistry	
Moussa	Amr	Department of Medical Imaging	Schulich School of Medicine & Dentistry	
Mujoomdar	Amol	"Department of Medical Imaging, Medical Biophysics, Oncology"	Schulich School of Medicine & Dentistry	0000-0002-4012-6068
Muscedere	Giulio	Department of Medical Imaging	Schulich School of Medicine & Dentistry	0000-0002-7803-3529
Nanda	Bipin Pradhanbhai	Department of Medical Imaging	Schulich School of Medicine & Dentistry	
Naqvi	Syed	Department of Medical Imaging	Schulich School of Medicine & Dentistry	0000-0002-6690-9706
Ng	Geoffrey	"Department of Medical Imaging, Medical Biophysics, Robarts - Imaging, Surgery"	Schulich School of Medicine & Dentistry	0000-0002-9413-9294
Ohorodnyk	Pavlo	Department of Medical Imaging	Schulich School of Medicine & Dentistry	
O'Riordan	A. Elaine	Department of Medical Imaging	Schulich School of Medicine & Dentistry	0000-0002-1095-9683
Osman	Said	Department of Medical Imaging	Schulich School of Medicine & Dentistry	
Panych	Lawrence Patrick	Department of Medical Imaging	Schulich School of Medicine & Dentistry	
Paul	Narinder	"Department of Medical Imaging, Medical Biophysics, Robarts - Imaging"	Schulich School of Medicine & Dentistry	0000-0002-1102-0125
Pavlosky	William F	Department of Medical Imaging	Schulich School of Medicine & Dentistry	
Peck	David J	Department of Medical Imaging	Schulich School of Medicine & Dentistry	
Peters	Terence M.	"Department of Medical Imaging, Medical Biophysics, Robarts - Imaging"	Schulich School of Medicine & Dentistry	0000-0003-1440-7488
Prato	Frank S.	"Department of Medical Imaging, Medical Biophysics"	Schulich School of Medicine & Dentistry	0000-0002-4592-2522
Rachinsky	Irina	Department of Medical Imaging	Schulich School of Medicine & Dentistry	0000-0002-1858-568X
Ramsewak	Darryl	Department of Medical Imaging	Schulich School of Medicine & Dentistry	
Randhawa	Shubreet	Department of Medical Imaging	Schulich School of Medicine & Dentistry	0000-0001-8781-8371
Romero Sanchez	Griselda Teresa	Department of Medical Imaging	Schulich School of Medicine & Dentistry	0000-0002-5835-1888
Romsa	Jonathan	Department of Medical Imaging	Schulich School of Medicine & Dentistry	
Ross	Ian G.	Department of Medical Imaging	Schulich School of Medicine & Dentistry	
Sathiadoss	Paul	Department of Medical Imaging	Schulich School of Medicine & Dentistry	0000-0002-7460-0469
Shmuilovich	Olga	Department of Medical Imaging	Schulich School of Medicine & Dentistry	0009-0004-3397-2874
So	Aaron	"Department of Medical Imaging, Medical Biophysics, Robarts - Imaging"	Schulich School of Medicine & Dentistry	
Spouge	Alison	Department of Medical Imaging	Schulich School of Medicine & Dentistry	0000-0002-8447-1242
St Lawrence	Keith	"Department of Medical Imaging, Medical Biophysics"	Schulich School of Medicine & Dentistry	0000-0001-8022-8205
Stodilka	Robert Z.	"Department of Medical Imaging, Medical Biophysics"	Schulich School of Medicine & Dentistry	0000-0002-9501-9032
Sutherland	Duncan Ewan Keith	Department of Medical Imaging	Schulich School of Medicine & Dentistry	
Swiha	Mina	Department of Medical Imaging	Schulich School of Medicine & Dentistry	0000-0003-3405-7497
Tay	Keng Yeow	"Department of Medical Imaging, Otolaryngology"	Schulich School of Medicine & Dentistry	0000-0001-6101-3065
Teeter	Matthew	"Department of Medical Imaging, Medical Biophysics, Robarts - Imaging, Surgery"	Schulich School of Medicine & Dentistry	0000-0002-3911-3171
Theberge	Jean	"Department of Medical Imaging, Medical Biophysics, Psychiatry"	Schulich School of Medicine & Dentistry	0000-0001-7578-4469
Vezina	William C	Department of Medical Imaging	Schulich School of Medicine & Dentistry	0000-0002-6957-9036
Wang	David	Department of Medical Imaging	Schulich School of Medicine & Dentistry	0000-0001-9112-2983
Warrington	James C	Department of Medical Imaging	Schulich School of Medicine & Dentistry	
Wiseman	Daniele	Department of Medical Imaging	Schulich School of Medicine & Dentistry	0000-0002-9370-4159
Abdul-Karim	Rasha	Department of Medicine	Schulich School of Medicine & Dentistry	
Adunuri	Nikesh Reddy	Department of Medicine	Schulich School of Medicine & Dentistry	
Anees	Syed Muhammad Yousuf	Department of Medicine	Schulich School of Medicine & Dentistry	0009-0005-3022-7761
Antiperovitch	Pavel	Department of Medicine	Schulich School of Medicine & Dentistry	0000-0002-8814-9015
Appleton	Andrew James Edward	Department of Medicine	Schulich School of Medicine & Dentistry	0000-0001-8452-5012
Appleton	Christopher Thomas George	"Department of Medicine, Physiology and Pharmacology"	Schulich School of Medicine & Dentistry	0000-0001-7148-0767
Arbeau	Ryan	Department of Medicine	Schulich School of Medicine & Dentistry	
Arntfield	Robert Thomas	Department of Medicine	Schulich School of Medicine & Dentistry	0000-0003-4954-487X
Asfaha	Samuel	"Department of Medicine, Oncology, Physiology and Pharmacology"	Schulich School of Medicine & Dentistry	0000-0001-6972-0338
Ataie	Lili	Department of Medicine	Schulich School of Medicine & Dentistry	0009-0000-0846-3534
Bagur	Rodrigo	"Department of Medicine, Epidemiology and Biostatistics"	Schulich School of Medicine & Dentistry	0000-0003-1888-9429
Bains	Sukhveer K	Department of Medicine	Schulich School of Medicine & Dentistry	
Ball	Ian Michael	"Department of Medicine, Epidemiology and Biostatistics"	Schulich School of Medicine & Dentistry	0000-0002-8503-2153
Barghi	Arvand	Department of Medicine	Schulich School of Medicine & Dentistry	
Barra	Lillian	"Department of Medicine, Epidemiology and Biostatistics, Microbiology & Immunology"	Schulich School of Medicine & Dentistry	
Basharat	Pari	Department of Medicine	Schulich School of Medicine & Dentistry	0000-0002-3085-3990
