Number,Year,Entry,Journal,Volume/Issue,Pages,Extracted_Journal,Extracted_Volume,Extracted_Issue,Extracted_PageStart,Extracted_PageEnd
247,1967,"A catalogue of the "" Spring Bird Notes "" prepared by the MeIlu  Club for London’s newspapers, 1920 - 1923. .Western Ontario (  Notes, 23(1) : 9 - 21. al","A catalogue of the "" Spring Bird Notes "" prepared by the MeIlu  Club for London’s newspapers, 1920 - 1923. .Western Ontario (  Notes",23(1),9,Western Ontario (  Notes,23,1,9,21
248,1967,"A study of the population of insects emerging as adults fr  Pond at London, Ontario. Proceedings of the Entomologica  Ontario (1966), 97 : 90 - 98. ,  rues* f","A study of the population of insects emerging as adults fr  Pond at London, Ontario. Proceedings of the Entomologica  Ontario (1966)",97,90,Proceedings of the Entomologica  Ontario (1966),97,,90,98
249,1967,"Courtship flight of male bumblebees. Young Naturalist IF  Ontario Naturalists), 9(8) : 2. of",Courtship flight of male bumblebees. Young Naturalist IF  Ontario Naturalists),9(8),2,Young Naturalist IF  Ontario Naturalists),9,8,2,
250,1967,"Reports on the Byron Bog in the minutes of the Mcllwr ii.l.  The Cardinal, 59 : 7 - 10.",Reports on the Byron Bog in the minutes of the Mcllwr ii.l.  The Cardinal,59,7,The Cardinal,59,,7,10
251,1967,"Millipeds (Diplopoda) in the vicinity of London, Ontario  Canadian Field-Naturalist, 81(3) : 189 - 196.","Millipeds (Diplopoda) in the vicinity of London, Ontario  Canadian Field-Naturalist",81(3),189,,,,,
252,1967,Preservation of the Byron Bog. Canadian Field-Natur !  232 - 233.,,,,,,,,
253,1968,"Columns on geology by J.W.Russell and on botany by N.CuHr  London Free Press, 1922 - 1923. The Cardinal, 60 : Ii",,,,,,,,
254,1968,"Studies of the Byron Bog in southwestern Ontario XXIX.T  chain fern, an addition to the flora of the bog. Canadien  Naturalist, 82(1) : 52. a","Studies of the Byron Bog in southwestern Ontario XXIX.T  chain fern, an addition to the flora of the bog. Canadien  Naturalist",82(1),52,Canadien  Naturalist,82,1,52,
255,1968,"Insects trapped by the pollinial apparatus of milkweed. A:  syriaca L., in Dunn Township, Ontario. Canadian Journali  46(3) : 475 - 479.",,,,,,,,
256,1968,"Students who attended the Federation of Ontario Naturalisi  scholarships from the McIlwraith Club, 1949 - 1966. The ¡­ 7 - 8. •",,,,,,,,
257,1968,"Report No. 3 of the archivist of the McIlwraith Field Toi  Club. The Cardinal, 61 : 20 - 22.",Report No. 3 of the archivist of the McIlwraith Field Toi  Club. The Cardinal,61,20,The Cardinal,61,,20,22
258,1968,"Studies of the Byron Bog in southwestern Ontario XXX.  orchids in the bog. Rhodora, 70 (782) : 193 - 199. :of",,,,Rhodora,70,782,193,199
259,1968,"A collection of damselflies and dragonflies (Odonata) fron  Ontario. Ontario Field Biologist, 21 : 1 - 6. ship,",A collection of damselflies and dragonflies (Odonata) fron  Ontario. Ontario Field Biologist,21,1,Ontario Field Biologist,21,,1,6
260,1968,Studies of the Byron Bog in southwestern Ontario XXXI.:  fungi and their distribution in the bog. Ontario Field la  21 : 30 - 36.,,,,,,,,
261,1968,"Ectoparasites from the cowbird, Molothrus ater (Boddaert),  Ontario. Canadian Journal of Zoology, 46(4) : 807.","Ectoparasites from the cowbird, Molothrus ater (Boddaert),  Ontario. Canadian Journal of Zoology",46(4),807,Canadian Journal of Zoology,46,4,807,
262,1968,"Review of : Moment in the Sun - A dial Report on the Detel  of the Amererican Environment by Robert Rienow and Leonti  New York, The Dial Press, 1967, xii, 286 pages, illus,  Ontario Naturalist, 6(2) : 30. uality  W.","Review of : Moment in the Sun - A dial Report on the Detel  of the Amererican Environment by Robert Rienow and Leonti  New York, The Dial Press, 1967, xii, 286 pages, illus,  Ontario Naturalist",6(2),30,,,,,
263,1968,"Crayfish in the vicinity of London, Ontario. National Bus  Natural History Papers, No. 41. ada, 16",,,,,,,,
264,1968,"Studies of the Byron Bog in southwestern Ontario XXXII. Observ:  the seasonal distribution of Odonata in the bog. Proceedings of the Entomological Society of Ontario (1967),98 : on 48.",,,,,,,,
265,1968,"Studies of the Byron Bog in southwestern Ontario XXXIII. Distr  of Dytiscidae and Hydrophilidae (Coleoptera) in the bog. Proceedings of the Entomological Society of Ontario (1967),98 : on 52.",,,,,,,,
266,1968,"Preservation of the Byron Bog in London, Ontario. Biological Conservation, 1(1) : 84 - 85.","Preservation of the Byron Bog in London, Ontario. Biological Conservation",1(1),84,Biological Conservation,1,1,84,85
267,1968,"A catalogue of the columns on trees and shrubs of southwestern (  prepared by William Sherwood Fox for the London Free Press, 194’7  The Cardinal, 62 : 13 - 15. o","A catalogue of the columns on trees and shrubs of southwestern (  prepared by William Sherwood Fox for the London Free Press, 194’7  The Cardinal",62,13,,,,,
268,1969,"Harvestmen and spiders and their prey on milkweed, Asclepias syr L., at London, Ontario. Canadian Journal of Zoology, 47(1) : 15 61.","Harvestmen and spiders and their prey on milkweed, Asclepias syr L., at London, Ontario. Canadian Journal of Zoology",47(1),15,Canadian Journal of Zoology,47,1,15,
269,1969,"The garden centiped at London, Ontario. Entomological News,80(1 1•",,,,,,,,
270,1968,"Studies of the Byron Bog in southwestern Ontario XXXIV. Additi  observations on reptiles of the bog. Canadian Field-Naturalist,  289 - 291. X",,,,,,,,
271,1969,"The McIlwraith Club’s exhibits at the Home and Garden Show of th  Western Fair Association, London, Ontario, 1954 - 1964. The Cardinal, 63 : 16 - 20.","The McIlwraith Club’s exhibits at the Home and Garden Show of th  Western Fair Association, London, Ontario, 1954 - 1964. The Cardinal",63,16,The Cardinal,63,,16,20
272,1968,"Studies of the Byron Bog in southwestern Ontario XXXV, Insects  from galls from the wooded slopes of the bog. Marcellia, 35(1/2  81. d  7 -",,,,,,,,
273,1969,"Catalogues of columns on natural history by W.E.Saunders and J.K  in London (Ontario) newspapers, 1929 - 1963. Western Ontario History Nuggets, No. 35. lds",,,,,,,,
274,1968,"Studies of the Byron Bog in southwestern Ontario - XXXVI. The nm  an inhabitant of the bog. Ontario Field Biologist, No. 22 : 1. ,","Studies of the Byron Bog in southwestern Ontario - XXXVI. The nm  an inhabitant of the bog. Ontario Field Biologist, No",22,1,,,,,
275,1969,"Stuart Logan Thompson (1885-1961) and his talks to the MeIlwrait Ornithological Club. The Cardinal, No. 64 : 9 - 11.","Stuart Logan Thompson (1885-1961) and his talks to the MeIlwrait Ornithological Club. The Cardinal, No",64,9,,,,,
276,1969,"Studies of the Byron Bog in southwestern Ontario XXXVIII. Inse«  associated with flowering bomeset, Eupatorium perfoliatum L. Proceedings of the Entomological Society of Ontario (1968),99 :<",,,,,,,,
277,1969,"Studies of the Eyron Bog in southwestern Ontario XXXVII. Leeche  (Hirudinea) collected in the bog. Canadian Field-Naturalist, 83 ( 68.",,,,,,,,
278,1969,"Days on the Dundas Marsh - 1946. Wood Duck (Hamilton Naturalists  23 (1) : 5 - 7. ),",,,,,,,,
279,1969,"Minutes of the Botanical Section of the Entomological Society of $  (1890-1904) edited and with appendices. Occasional Paper No. 9,  London Public Library and Art Museum. 0",,,,,,,,
280,1969,"Report No. 4 of the archivist of the McIlwraith Field Naturalists  The Cardinal, 65 : 13 - 15. 17",Report No. 4 of the archivist of the McIlwraith Field Naturalists  The Cardinal,65,13,4 of the archivist of the McIlwraith Field Naturalists  The Cardinal,65,,13,15
281,1969,"Studies of the Byron Bog in southwestern Ontario XXXIX, Insect  trapped in the leaves of sundew, Drosera intermedia Hayne and  Drosera rotundifolia L. Canadian Field-Naturalist, 83(3): 233 - 237.","Studies of the Byron Bog in southwestern Ontario XXXIX, Insect  trapped in the leaves of sundew, Drosera intermedia Hayne and  Drosera rotundifolia L. Canadian Field-Naturalist",83(3),233,Canadian Field-Naturalist,83,3,233,237
282,1969,"Studies of the Byron Bog in southwestern Ontario. XL. Distribu  of Sphagnum mosses. Michigan Botanist, 8(4) : 167 - 170.",Studies of the Byron Bog in southwestern Ontario. XL. Distribu  of Sphagnum mosses. Michigan Botanist,8(4),167,Michigan Botanist,8,4,167,170
283,1969,"Further records of the mosquito, Psorophora ciliata (Fabr.), ini  vicinity of London, Ontario. Mosquito News, 29(4) : 689 - 690.","Further records of the mosquito, Psorophora ciliata (Fabr.), ini  vicinity of London, Ontario. Mosquito News",29(4),689,Mosquito News,29,4,689,690
284,1970,"A catalogue of columns on conservation prepared by W.G.Trestain 1  the London Free Press, January and February, 1940. The Cardinal,  66 : 13 - 15.","A catalogue of columns on conservation prepared by W.G.Trestain 1  the London Free Press, January and February, 1940. The Cardinal",66,13,The Cardinal,66,,13,15
285,1970,"Invertebrates from an abandoned muskrat house at London, Ontario.  Canadian Journal of Zoology, 48(2) : 402 - 403.","Invertebrates from an abandoned muskrat house at London, Ontario.  Canadian Journal of Zoology",48(2),402,Canadian Journal of Zoology,48,2,402,403
286,1969,"Spiders, Neoscona arabesca (Walckenaer), in flowering heads of wi  carrot, Daucus carota L., in Dunn Township. Ontario Field  Biologist, 23 : 24 - 25.","Spiders, Neoscona arabesca (Walckenaer), in flowering heads of wi  carrot, Daucus carota L., in Dunn Township. Ontario Field  Biologist",23,24,Ontario Field  Biologist,23,,24,25
287,1970,"Anglican clergy active in entomological group. London Free Press, May 23, 1970, page 8-M.",,,,,,,,
288,1970,"A rare visitor from the south. Young Naturalist (Federation of O1>  Naturalists), 12 (5) : 6.",,,,Young Naturalist (Federation of O1>  Naturalists),12,5,6,
289,1970,"A botanical farewell to Trott’s Swamp. The Cardinal, 67 : 16 - 1",A botanical farewell to Trott’s Swamp. The Cardinal,67,16,The Cardinal,67,,16,1
290,1970,Studies of the Byron Bog in southwestern Ontario XLI. Distribut  C slugs and snails (Gastropoda) in the bog. Canadian Field-Natural  84(1) : 60 - 62.,,,,,,,,
291,1970,"Studies of the Byron Bog in southwestern Ontario XLII. Distribu  of mites (Acarina) in the bog. Canadian Field-Naturalist, 84 (1)  62 - 63.",,,,Canadian Field-Naturalist,84,1,62,63
292,1970,"Beetles, Neodryocoetes hubbardi Blackman (Scolytidae), infesting:  strung as necklaces imported from Jamaica. Canadian Journal of  Zoology, 48(4) : 895 - 896.","Beetles, Neodryocoetes hubbardi Blackman (Scolytidae), infesting:  strung as necklaces imported from Jamaica. Canadian Journal of  Zoology",48(4),895,Canadian Journal of  Zoology,48,4,895,896
293,1970,"Botanists pose riddle : name the unidentified. London Free Press, July 11,1970, page 8-M.",,,,,,,,
294,1970,"Famous visitors for a picnic,  London Free Press, October 10,1970, page 52",,,,,,,,
295,1970,"James Alexander Morton (1848-1932) botanist of Wingham, Ontario.  The Cardinal, 68 : 4 - 9.","James Alexander Morton (1848-1932) botanist of Wingham, Ontario.  The Cardinal",68,4,The Cardinal,68,,4,9
296,1970,"Insects associated with flowering wild carrot, Daucus carota L., i  southern Ontario. Proceedings of the Entomological Society of Ont  (1969), 100 : 176 - 181.","Insects associated with flowering wild carrot, Daucus carota L., i  southern Ontario. Proceedings of the Entomological Society of Ont  (1969)",100,176,Proceedings of the Entomological Society of Ont  (1969),100,,176,181
297,1970,"Studies on the Byron Bog in southwestern Ontario XLIV. Flies (Sa  phagidae, Muscidae and Tachinidae) trapped in the bog.  Entomological News, 81(8) : 189 - 190. 18 London Free Press, April 1,1972, page 8-M.","Studies on the Byron Bog in southwestern Ontario XLIV. Flies (Sa  phagidae, Muscidae and Tachinidae) trapped in the bog.  Entomological News",81(8),189,Entomological News,81,8,189,190
298,1970,"Took McIlwraith name. London Fre ; Press, November 14,1970, page 8-M",,,,,,,,
299,1970,"Geological section recalled in ph tograph. London Free Press,  December 26, 1970, page 7-M.",,,,,,,,
300,1971,"Report No. 5 of the archivist of the McIlwraith Field Naturalists.  The Cardinal, 69 : 16 - 18.",Report No. 5 of the archivist of the McIlwraith Field Naturalists.  The Cardinal,69,16,The Cardinal,69,,16,18
301,1970,"Insects reared from the gall on bi r oak caused by Disholcaspis  bassetti Gill. Marcellia, 36 (3) : 173 - 174.",,,,Marcellia,36,3,173,174
302,1971,"Publicity was his punishment : hur ting small birds, trustee shot his  small toe. London Free Press, Api il 3, 1971, page 8-M.",,,,,,,,
303,1970,"Minutes of the Microscopical Secti n of the Entomological Society of  Ontario (1890-1904) edited and wit i appendices. Occasional Paper  No. 11, London Public Library and rt Museum.",,,,,,,,
304,1971,"Hunting down a creek : barren stra berry report of 1893 leads to a  scientific search. London Free Pr ss, April 17, 1971, page 8-M.",,,,,,,,
305,1971,"Studies of the Byron Bog in southw stern Ontario XLIII. Swarming -  of the springtail Hypogastrura har eyi Folsom on the snow. Canadian Field-Naturalist, 85(1) : 65 - 66.",Studies of the Byron Bog in southw stern Ontario XLIII. Swarming -  of the springtail Hypogastrura har eyi Folsom on the snow. Canadian Field-Naturalist,85(1),65,Canadian Field-Naturalist,85,1,65,66
306,1970,"Additional observations on butterfl les of Dunn Township, Ontario.  Ontario Field Biologist, 24 : 13 16,","Additional observations on butterfl les of Dunn Township, Ontario.  Ontario Field Biologist",24,13,Ontario Field Biologist,24,,13,
307,1971,"The role of the McIlwraith Club in che London Hobby Fair (1946-1967).  The Cardinal, 70 : 17 - 23.",The role of the McIlwraith Club in che London Hobby Fair (1946-1967).  The Cardinal,70,17,The Cardinal,70,,17,23
308,1971,"Studies of the Byron Bog in southwestern Ontario XLV. Insects  associated with flowering dandelion, Taraxacum officinale Weber.  Proceedings of the Entomological Society of Ontario (1970),  101 : 59 - 62.","Studies of the Byron Bog in southwestern Ontario XLV. Insects  associated with flowering dandelion, Taraxacum officinale Weber.  Proceedings of the Entomological Society of Ontario (1970)",101,59,Proceedings of the Entomological Society of Ontario (1970),101,,59,62
309,1971,"A young albino snapping turtle, Chelydra serpentina L, in southern  Ontario, Canada. Canadian Field-Naturalist, 85(3) : 254-255.","A young albino snapping turtle, Chelydra serpentina L, in southern  Ontario, Canada. Canadian Field-Naturalist",85(3),254-255,Canadian Field-Naturalist,85,3,254,255
310,1971,"Studies of the Byron Bog in southwestern Ontario XLVI. Ground  beetles (Carabidae) from the damp, wooded zone of the bog.  Entomological News, 82(9) : 225 - 227.","Studies of the Byron Bog in southwestern Ontario XLVI. Ground  beetles (Carabidae) from the damp, wooded zone of the bog.  Entomological News",82(9),225,Entomological News,82,9,225,227
311,1971,"George Alexander MacCallum (1843-1936) physician,naturalist and  parasitologist. The Cardinal, 71 : 14 - 19.","George Alexander MacCallum (1843-1936) physician,naturalist and  parasitologist. The Cardinal",71,14,The Cardinal,71,,14,19
312,1971,"Did Griffiths dam timbers snag Victoria ?  London Free Press, December 4, 1971, page 30.",,,,,,,,
313,1972,"The London Biological Club (1914). The Cardinal, 72 : 10 - 13.",The London Biological Club (1914). The Cardinal,72,10,The Cardinal,72,,10,13
314,1972,"Wins citation : insect display honored at 1876 Philadelphia  exhibition. London Free Press, February 26,1972, page 28.",,,,,,,,
315,1972,Periwinkle survives other landmarks. 19,,,,,,,,
316,1972,"A catalogue of columns on a travel que in southwestern Ontario, prepared  for The London Free Press in 1938 k r W.G.Trestain with an index to  plants and animala mentioned there 1. Western Ontario Historical Notes, 26 : 13 - 18.","A catalogue of columns on a travel que in southwestern Ontario, prepared  for The London Free Press in 1938 k r W.G.Trestain with an index to  plants and animala mentioned there 1. Western Ontario Historical Notes",26,13,Western Ontario Historical Notes,26,,13,18
317,1971,"A female wolf spider (Lycosa aspers.) Hentz kept in captivity,  Ontario Field Biologist, 25 : 13 - 4.","A female wolf spider (Lycosa aspers.) Hentz kept in captivity,  Ontario Field Biologist",25,13,,,,,
318,1972,"Comments on observations on plants  (1858-1902), naturalist and poet of  The Cardinal, 73 : 8 - 18. nd birds made by Robert Elliott  Plover Mills.","Comments on observations on plants  (1858-1902), naturalist and poet of  The Cardinal",73,8,,,,,
319,1972,"Studies of the Byron Bog in southwe  of the Sphagnum mat. Entomological tern Ontario XLVII. Insects  News, 83 (6) : 145 - 151.",,,,Insects  News,83,6,145,151
320,1972,Days on the Dundas Marsh - 1947. W  26 (1) : 3 - 5. od Duck (Hamilton Naturalists’ Club),,,,,,,,
321,1972,"Stephen Mummery, taxidermist in Lone  The Cardinal, 74 : 1 - 5. on from 1857 to 1879.","Stephen Mummery, taxidermist in Lone  The Cardinal",74,1,,,,,
323,1972,"Ernest Edwin Gibbs (1870-1959) and  of H.B. Spotton’s "" Wild Plants of  The Cardinal, 75 : 1 - 22. is list of plants in his copy  Canada "".","Ernest Edwin Gibbs (1870-1959) and  of H.B. Spotton’s "" Wild Plants of  The Cardinal",75,1,"Spotton’s "" Wild Plants of  The Cardinal",75,,1,22
324,1972,"Wasps (Vespidae) pollinating helleb  Crantz, at Owen Sound, Ontario. Pr  Society of Ontario (1971), 102 : 11 rine, Epipactis helleborine (L.)  ceedings of the Entomological  i - 118.","Wasps (Vespidae) pollinating helleb  Crantz, at Owen Sound, Ontario. Pr  Society of Ontario (1971)",102,11,Pr  Society of Ontario (1971),102,,11,
325,1973,"A canoe trip down the Thames River Saunders in 1885. The Cardinal, 76 rom London to Wardsville by W.E.  : 5 - 12.",,,,,,,,
326,1973,"Report No. 6 of the archivist of th  The Cardinal, 76 : 21 - 23. : McIlwraith Field Naturalists.",Report No. 6 of the archivist of th  The Cardinal,76,21,6 of the archivist of th  The Cardinal,76,,21,23
327,1972,"Minutes of the Ornithological Secti<  Ontario (McIlwraith Ornithological (  appendices. Occasional Paper No. 1'  Museum. a of the Entomological Society of Lub) (1890-1903) edited and with , London Public Library and Art",,,,,,,,
328,1971,"Studies of the Byron Bog in southwes  reared from galls on willow, oak and  232. tern Ontario XLVIII. Insects  rose, Marcellia, 37(4) : 225 -","Studies of the Byron Bog in southwes  reared from galls on willow, oak and  232. tern Ontario XLVIII. Insects  rose, Marcellia",37(4),225,,,,,
329,1973,"330. 1973 Studies of the Etyron Bog in southwes  observations on the insects of Redmor  Entomological News, 84 (3) : 96 - 98  The flowering dogwood, Cornus floridi  The Cardinal, 78 : 6 - 10. ern Ontario XLIX. Additional  d’s Pond. L., at the Westminster Ponds.","330. 1973 Studies of the Etyron Bog in southwes  observations on the insects of Redmor  Entomological News, 84 (3) : 96 - 98  The flowering dogwood, Cornus floridi  The Cardinal",78,6,1973 Studies of the Etyron Bog in southwes  observations on the insects of Redmor  Entomological News,84,3,96,98
331,1973,"An index to references to amphibians  natural history in the London Advert  London, Ontario. Bulletin, Canadian  Conservation Society, 11 (5) : 3 - 6 and reptiles in columns on  ser and London Free Press,  Amphibian and Reptile 20",,,,,,,,
332,1973,"Insects associated with flowering € decampane (Inula Helenium ),  in the vicinity of Owen Sound, Onta rio. Ontario Field Biologist, 27 : 25 - 28.","Insects associated with flowering € decampane (Inula Helenium ),  in the vicinity of Owen Sound, Onta rio. Ontario Field Biologist",27,25,Ontario Field Biologist,27,,25,28
333,1974,"Twenty-seven seasons (1946-1973) of Audubon Screen Tours (Wildlife  Films) sponsored by the McIlwraith ièèd Naturalists,  The Cardinal, 80 : 12 - 18.","Twenty-seven seasons (1946-1973) of Audubon Screen Tours (Wildlife  Films) sponsored by the McIlwraith ièèd Naturalists,  The Cardinal",80,12,,,,,
334,1974,"The McIlwraith Field Naturalists of London, Ontario, Incorporated.  The Cardinal, 81 : 4 - 7.","The McIlwraith Field Naturalists of London, Ontario, Incorporated.  The Cardinal",81,4,The Cardinal,81,,4,7
335,1974,"Twenty bird skins collected by Alfr d Brooker Klugh and deposited in  the Alexandra School, London, Ontar o. The Cardinal, 81 : 13 - 17.","Twenty bird skins collected by Alfr d Brooker Klugh and deposited in  the Alexandra School, London, Ontar o. The Cardinal",81,13,The Cardinal,81,,13,17
336,1974,"Diaries of a trip to Manitoulin Isl nd (1880) and of a trip down the  Thames River (1881) by W.E.Saunders edited and with notes.  Occasional Paper No. 16, London Pub ic Library and Art Museum.",,,,,,,,
337,1974,"An early record of a "" mud turtle "" in London Township, Middlesex  County, Ontario. Bulletin, Canadian Amphibian and Reptile Conservation  Society, 12(3) : 7 - 8.","An early record of a "" mud turtle "" in London Township, Middlesex  County, Ontario. Bulletin, Canadian Amphibian and Reptile Conservation  Society",12(3),7,,,,,
338,1974,"Vignettes of nature in southern Onta rio. Carlton Press, Inc., New York. 96 pages",,,,,,,,
339,1974,"Insects associated with flowering m sk-mallow (Malva moschata L.)  at Owen Sound, Ontario. Ontario Fi Id Biologist, 28 (2) : 28 - 36.",,,,Ontario Fi Id Biologist,28,2,28,36
340,1975,"The "" old farm "",1903 - 1909, of N.I . Saunders in the second  concession of London Wownship. The Cardinal, 82 : 5 - 8.","The "" old farm "",1903 - 1909, of N.I . Saunders in the second  concession of London Wownship. The Cardinal",82,5,The Cardinal,82,,5,8
341,1975,"Minutes of the McIlwraith Ornitholog ical Club (1915-1919) edited and with appendices. Occasional Par er No. 19, London Public Library  and Art Museum.",,,,,,,,
342,1975,"The property and cabin of W.E.Saunde s, 1913 - 1943, at Saunders Pond,  Lot 24, Concession I of Westminster ' o wnship. The Cardinal, 83 : 1 - 15.","The property and cabin of W.E.Saunde s, 1913 - 1943, at Saunders Pond,  Lot 24, Concession I of Westminster ' o wnship. The Cardinal",83,1,The Cardinal,83,,1,15
343,1975,"Insects and spiders from year-old gal Ls caused by Furosta solidaginis  Fitch (Diptera : Trypetidae) on golde rod, Solidago canadensis L.  Marcellia, 38 (2/3) : 235 - 237.",,,,Marcellia,38,2/3,235,237
344,1975,"The woodlot at "" Beechwood "" in Arms brong, P.H. and D.J.Brock 1975  Reflections on London’s Past. Archit ctural and Historic Sites  Preservation Committee of the City of London. 40 pages",,,,,,,,
345,1975,"A blue jay in captivity for 18 years. Bird-Banding,46(3) : 250.",A blue jay in captivity for 18 years. Bird-Banding,46(3),250,Bird-Banding,46,3,250,
346,1975,"John Alfred Morden (1859-1937) natur list of London Township. The Cardinal, 84 : 6 - 23.",John Alfred Morden (1859-1937) natur list of London Township. The Cardinal,84,6,The Cardinal,84,,6,23
347,1975,"Studies of the Byron Bog in southwes ern Ontario 50. Additional  observations on insects in the bog. Entomological News, 86 (3/4): 51 - 56.",,,,Entomological News,86,3/4,51,56
348,1975,"Accounts and minutes of the London B anch of the Entomological Society  of Ontari® (1864-1881) edited and wi h appendices. Occasional Paper  No. 20, Public Library and Art Museu.",,,,,,,,
349,1975,"Recent records of ticks, Ixodes cook i Packard and Dermacentor variabilis  (Say) (Acarina : Ixodoidea) in south restern Ontario. Entomological News, 86 (7/8) : 157 - 159; Entomological News, 87 (1/2) :  back cover, ERRATA - corrected Fig. 1, 1976",,,,Entomological News,86,7/8,157,159
350,1975,"Insects associated with flowering silky dogwood (Cornus o  ua Raf.) at Dunnville, Haldimand County, Ontario. Ontario Field B  gist, 29(2) : 26 - 35. 2)75","Insects associated with flowering silky dogwood (Cornus o  ua Raf.) at Dunnville, Haldimand County, Ontario. Ontario Field B  gist",29(2),26,Ontario Field B  gist,29,2,26,35
351,1976,"Report No. 7 of the archivist of the McIlwraith Field Nati ists.  The Cardinal, 85 : 12 - 14.",Report No. 7 of the archivist of the McIlwraith Field Nati ists.  The Cardinal,85,12,The Cardinal,85,,12,14
352,1976,"Records of snakes and turtles un Ontario in the 1960s. Bulletin,Canadian Amphibian and Reptile Conservation Soci.  13 (6) : 1 - 3.",,,,,,,,
353,1976,"Birds seen in the Hawaiian Islands in January and February 76.  The Cardinal, 86 : 17 - 21.",Birds seen in the Hawaiian Islands in January and February 76.  The Cardinal,86,17,The Cardinal,86,,17,21
354,1976,"1,000 beer bottles ( $50.00 ) from Ontario roads in a yeai  The Probe (Pollution Probe London), 5 (2) : 2.",,,,00 ) from Ontario roads in a yeai  The Probe (Pollution Probe London),5,2,2,
355,1976,"Minutes of the Entomological Society of Ontario while head  tered in London, Ontario, 1872 - 1906, edited and with appendices. Occasional Paper No. 21, London Public Libraries, Gallerie useums",,,,,,,,
356,1976,"A praying mantis trapped in a spider web. Ontario Filed Bi ;ist,  30 (1) : 53 - 55.",,,,Ontario Filed Bi ;ist,30,1,53,55
357,1976,"Henry Philemon Attwater (1854-1931) and his museum in the  anics’ Institute (1886,1887) in London, Ontario. The Cardinal, 8  7 - 15.",,,,The Cardinal,8,,7,15
358,1977,"Insects associated with flowering bloodroot, Sanguinaria g  1ensis L., at Fanshawe Lake, Ontario. Entomological News, 88 (1/2) :  - 17.",,,,,,,,
359,1977,"Sighting of a black rat snake near Nelles Corners, in Fa t,D. 1977  Oriskany of Ontario. Department of Botany, University of  ern Ontario, 39 pages : 24,25.",,,,,,,,
360,1977,"An early morning bird hike to Saunders Pond in 1925 with a tograph  of the participants. The Cardinal, 88 : 10 - 12.",An early morning bird hike to Saunders Pond in 1925 with a tograph  of the participants. The Cardinal,88,10,The Cardinal,88,,10,12
361,1976,"Minutes of the London Mechanics’ Institute (1841-1895) edi and with  appendices. Occasional Paper No. 23, London Public Librar  Galleries Museums.",,,,,,,,
362,1977,"Insects associated with flowering coltsfoot (Tussilago Far  L.) at  Hyde Park, Middlesex County, Ontario. Ontario Field Biolo , 31 (1) :  43 - 46.",,,,Ontario Field Biolo,31,1,43,46
363,1977,"Spiders from milkweed. Asclepias syriaea L., at Dunnville, ario. Entomological News, 88 (7/8) : 207 - 209.",,,,Entomological News,88,7/8,207,209
364,1977,"Days on the Dundas Marsh - 1948. Wood Duck (Hamilton Nati ists'  Club), 31 (3) : 47 - 48.",,,,Wood Duck (Hamilton Nati ists'  Club),31,3,47,48
365,1977,"Birds seen in the Hawaiian Islands in January and Februar"" (7.  The Cardinal, 90 : 8 - 11.","Birds seen in the Hawaiian Islands in January and Februar"" (7.  The Cardinal",90,8,The Cardinal,90,,8,11
366,1977,"The Medway, where native men walked. The Hoot (Save The Mc  ""lnb). Autumn,1977, 2 pages.",,,,,,,,
367,1977,"Insects reared from the gall on redjak caused by Callirhytis lanata (Gillette) and on bur oak caused by Disholcaspis bassetti (Gillette)  in Ontario, Canada. Marcellia, 40 1/4) : 193-194. 368, 1978 The last four seasons (Twenty-eigh • to Thirty-one)1973-1977) of  Audubon Wildlife Films sponsored b - the McIlwraith Field Naturalists  of London, Ontario. The Cardinal, 91 : 10 - 12. 22 5  .","Insects reared from the gall on redjak caused by Callirhytis lanata (Gillette) and on bur oak caused by Disholcaspis bassetti (Gillette)  in Ontario, Canada. Marcellia, 40 1/4) : 193-194. 368, 1978 The last four seasons (Twenty-eigh • to Thirty-one)1973-1977) of  Audubon Wildlife Films sponsored b - the McIlwraith Field Naturalists  of London, Ontario. The Cardinal",91,10,Marcellia,40,,1,
369,1977,"Sowbugs and water-slaters (Imopoda) of Dunn Township, Hal  County, Ontario. Proceedings of the Entomological Societ.  (1976), 107 : 85 - 88. nd  Ontario,","Sowbugs and water-slaters (Imopoda) of Dunn Township, Hal  County, Ontario. Proceedings of the Entomological Societ.  (1976)",107,85,-1976,107,,85,88
370,1978,"Birds seen in the Hawaiian Islands in January and Februar  The Cardinal, 92 : 15 - 29. 78.",Birds seen in the Hawaiian Islands in January and Februar  The Cardinal,92,15,,,,,
371,1978,"A commotion caused in London, Ontario, by a northern brow  Bulletin, Canadian Amphibian and Reptile Conservation Soo  15 (5) : 3. ike.",,,,,,,,
372,1978,"Foul fate for Fox Hollow, she Hoot (Medway Valley News),  issue, 1978 : 5. 9  in-Summer",,,,,,,,
373,1978,"Insects associated with a colony of aphids, Brachycaudus  Scotch thistle, Onepordum acanthium L., at Dunnville, Ont  Entomological News, 89 (7 and 8) : 169 - 173. ui L., on",,,,,,,,
374,1978,"The executives ( Board of Directors ) of the McIlwraith F  Naturalists, 1967 - 1978.. The Cardinal, 93 : 11 - 13.","The executives ( Board of Directors ) of the McIlwraith F  Naturalists, 1967 - 1978.. The Cardinal",93,11,The Cardinal,93,,11,13
375,1978,"A diary of observations on birds written from 1906 to 191  Clifford Higgins, London, Ontario, edited and with append  . Phelps Publishing Co., London, Ontario 68 pages John",,,,,,,,
